Round,batch_size,best epoch training_time,best_test_rmse,best_test_rmse_epoch,clip_gradients,decay_learning_rate,dropout_keep_prob,hidden_activation,hidden_layer_size,hidden_regularisation,hidden_regularizer,learning_rate,num_hidden_layers,optimizer
95,256,79s,0.9417183790000001,15,True,False,0.6,,800,0.2,<function l2_regularizer at 0x000001BDBC838598>,0.0001,2,<class 'tensorflow.python.training.adam.AdamOptimizer'>
96,128,2s,0.946150385,18,True,False,0.8,<function relu at 0x7fbb9a7f8c80>,200,2.0,<function l1_regularizer at 0x7fbb6a5b7400>,0.0001,2,<class 'tensorflow.python.training.adam.AdamOptimizer'>
97,64,2s,0.966696443,17,True,True,0.8,,400,0.2,<function l2_regularizer at 0x7fbb6a5b7488>,0.01,1,<class 'tensorflow.python.training.adam.AdamOptimizer'>
98,64,16s,0.9673209359999999,18,False,True,0.5,<function elu at 0x7fbb9a7e8c80>,800,2.0,<function l1_regularizer at 0x7fbb6a5b7400>,0.0001,4,<class 'tensorflow.python.training.adam.AdamOptimizer'>
99,64,8s,0.967638898,16,False,True,0.5,<function elu at 0x7fbb9a7e8c80>,800,0.5,<function l1_regularizer at 0x7fbb6a5b7400>,0.0001,2,<class 'tensorflow.python.training.adam.AdamOptimizer'>
100,64,3s,0.9774443429999999,5,False,True,1.0,<function relu at 0x7fbb9a7f8c80>,100,0.2,<function l2_regularizer at 0x7fbb6a5b7488>,0.0001,5,<class 'tensorflow.python.training.adam.AdamOptimizer'>
101,64,4s,0.9783157790000001,18,True,False,0.5,<function softplus at 0x7fbb9a7fb378>,100,0.5,<function l2_regularizer at 0x7fbb6a5b7488>,0.0001,6,<class 'tensorflow.python.training.adam.AdamOptimizer'>
102,128,1s,1.00065286,11,True,True,0.7,,50,0.2,<function l1_regularizer at 0x7f772095d488>,0.0001,5,<class 'tensorflow.python.training.gradient_descent.GradientDescentOptimizer'>
103,512,2s,1.002787513,19,False,False,0.7,<function elu at 0x7fbb9a7e8c80>,200,2.0,<function l1_regularizer at 0x7fbb6a5b7400>,0.001,5,<class 'tensorflow.python.training.adam.AdamOptimizer'>
104,128,2s,1.006335974,16,False,True,0.9,,200,1.0,<function l2_regularizer at 0x7fbb6a5b7488>,0.0001,3,<class 'tensorflow.python.training.adam.AdamOptimizer'>
105,64,19s,1.023013956,16,False,False,0.8,,50,0.5,<function l1_regularizer at 0x000001BDBC8381E0>,0.001,5,<class 'tensorflow.python.training.adam.AdamOptimizer'>
106,512,5s,1.023783146,17,False,False,0.5,<function softplus at 0x7fbb9a7fb378>,400,0.1,<function l2_regularizer at 0x7fbb6a5b7488>,0.001,4,<class 'tensorflow.python.training.adam.AdamOptimizer'>
107,512,1s,1.037913742,18,True,False,1.0,,100,0.5,<function l1_regularizer at 0x7fbb6a5b7400>,0.0001,5,<class 'tensorflow.python.training.adam.AdamOptimizer'>
